State,Year,Total Employed RN,Hourly Wage Avg,Annual Salary Avg,FIPS
Kentucky,2004,36430.0,23.1,48050.0,21.0
Louisiana,2004,39140.0,23.47,48820.0,22.0
Maine,2004,13340.0,24.49,50940.0,23.0
Maryland,2004,48630.0,31.12,64720.0,24.0
Massachusetts,2004,75060.0,30.05,62490.0,25.0
Michigan,2004,79320.0,26.11,54320.0,26.0
Minnesota,2004,48220.0,27.47,57130.0,27.0
Mississippi,2004,25800.0,22.44,46680.0,28.0
Missouri,2004,53630.0,23.18,48220.0,29.0
Montana,2004,7610.0,22.15,46070.0,30.0
Nebraska,2004,17340.0,22.92,47680.0,31.0
Nevada,2004,14170.0,27.65,57510.0,32.0
New Hampshire,2004,11840.0,24.16,50250.0,33.0
New Jersey,2004,74540.0,28.76,59810.0,34.0
New Mexico,2004,12150.0,24.85,51690.0,35.0
New York,2004,165800.0,29.17,60680.0,36.0
North Carolina,2004,70630.0,23.83,49580.0,37.0
North Dakota,2004,6430.0,21.82,45400.0,38.0
Ohio,2004,104910.0,24.31,50560.0,39.0
Oklahoma,2004,22540.0,21.75,45230.0,40.0
Oregon,2004,26130.0,27.11,56400.0,41.0
Pennsylvania,2004,122070.0,25.37,52770.0,42.0
Rhode Island,2004,10680.0,26.62,55360.0,44.0
South Carolina,2004,30120.0,24.36,50660.0,45.0
South Dakota,2004,8960.0,21.83,45410.0,46.0
Tennessee,2004,52220.0,23.3,48460.0,47.0
Texas,2004,143630.0,25.32,52670.0,48.0
Utah,2004,13790.0,24.35,50650.0,49.0
Vermont,2004,5700.0,22.94,47720.0,50.0
Virginia,2004,53970.0,24.62,51200.0,51.0
Washington,2004,44290.0,28.17,58600.0,53.0
West Virginia,2004,15380.0,22.54,46890.0,54.0
Wisconsin,2004,45880.0,25.26,52550.0,55.0
Wyoming,2004,3660.0,21.8,45340.0,56.0
Alabama,2016,47440.0,27.36,56900.0,1.0
Alaska,2016,5570.0,41.56,86450.0,2.0
Arizona,2016,52610.0,35.31,73430.0,4.0
Arkansas,2016,23380.0,27.71,57630.0,5.0
California,2016,274650.0,48.92,101750.0,6.0
Colorado,2016,47590.0,33.92,70550.0,8.0
Connecticut,2016,32930.0,37.63,78270.0,9.0
Delaware,2016,11320.0,34.05,70820.0,10.0
Florida,2016,174710.0,31.07,64630.0,12.0
Georgia,2016,73330.0,31.13,64750.0,13.0
Hawaii,2016,11300.0,42.75,88910.0,15.0
Idaho,2016,12330.0,30.04,62470.0,16.0
Illinois,2016,121670.0,34.08,70890.0,17.0
Indiana,2016,63870.0,28.87,60050.0,18.0
Iowa,2016,32370.0,27.06,56290.0,19.0
Kansas,2016,27130.0,28.01,58260.0,20.0
Kentucky,2016,45500.0,28.76,59810.0,21.0
Louisiana,2016,44780.0,30.47,63370.0,22.0
Maine,2016,14190.0,30.67,63800.0,23.0
Maryland,2016,53330.0,35.92,74710.0,24.0
Massachusetts,2016,85140.0,42.82,89060.0,25.0
Michigan,2016,92670.0,33.22,69100.0,26.0
Minnesota,2016,61830.0,35.55,73940.0,27.0
Mississippi,2016,28590.0,27.41,57010.0,28.0
Missouri,2016,67920.0,29.25,60830.0,29.0
Montana,2016,9800.0,30.91,64300.0,30.0
Nebraska,2016,21240.0,29.02,60370.0,31.0
Nevada,2016,20250.0,40.28,83790.0,32.0
New Hampshire,2016,13260.0,33.02,68680.0,33.0
New Jersey,2016,79400.0,38.74,80580.0,34.0
New Mexico,2016,16200.0,33.02,68670.0,35.0
New York,2016,180730.0,38.86,80830.0,36.0
North Carolina,2016,99050.0,29.49,61330.0,37.0
North Dakota,2016,8710.0,29.25,60840.0,38.0
Ohio,2016,128030.0,30.75,63960.0,39.0
Oklahoma,2016,27660.0,29.15,60630.0,40.0
Oregon,2016,35220.0,41.83,87000.0,41.0
Pennsylvania,2016,139480.0,33.06,68770.0,42.0
Rhode Island,2016,12150.0,36.15,75200.0,44.0
South Carolina,2016,41800.0,30.51,63470.0,45.0
South Dakota,2016,12130.0,26.89,55920.0,46.0
Tennessee,2016,60080.0,28.08,58410.0,47.0
Texas,2016,207810.0,33.84,70390.0,48.0
Utah,2016,21470.0,29.98,62360.0,49.0
Vermont,2016,5850.0,32.59,67780.0,50.0
Virginia,2016,63820.0,32.05,66670.0,51.0
Washington,2016,55350.0,38.52,80120.0,53.0
West Virginia,2016,20880.0,28.55,59380.0,54.0
Wisconsin,2016,55410.0,32.66,67930.0,55.0
Wyoming,2016,4970.0,30.28,62980.0,56.0
Alabama,2017,49290.0,27.83,57890.0,1.0
Alaska,2017,5570.0,42.07,87510.0,2.0
Arizona,2017,54630.0,36.11,75110.0,4.0
Arkansas,2017,24380.0,28.28,58810.0,5.0
California,2017,282290.0,49.37,102700.0,6.0
Colorado,2017,49340.0,34.89,72570.0,8.0
Connecticut,2017,34310.0,38.56,80200.0,9.0
Delaware,2017,11620.0,35.18,73180.0,10.0
Florida,2017,178330.0,31.2,64890.0,12.0
Georgia,2017,75000.0,32.09,66750.0,13.0
Hawaii,2017,10800.0,46.63,96990.0,15.0
Idaho,2017,13320.0,31.02,64520.0,16.0
Illinois,2017,123100.0,34.66,72090.0,17.0
Indiana,2017,68530.0,30.02,62450.0,18.0
Iowa,2017,33280.0,27.85,57930.0,19.0
Kansas,2017,28900.0,28.82,59940.0,20.0
Kentucky,2017,44410.0,29.58,61530.0,21.0
Louisiana,2017,45970.0,30.56,63560.0,22.0
Maine,2017,14200.0,31.68,65890.0,23.0
Maryland,2017,53700.0,36.18,75250.0,24.0
Massachusetts,2017,82870.0,42.95,89330.0,25.0
Michigan,2017,94090.0,33.23,69120.0,26.0
Minnesota,2017,64540.0,37.28,77540.0,27.0
Mississippi,2017,28760.0,27.74,57700.0,28.0
Missouri,2017,72090.0,30.43,63300.0,29.0
Montana,2017,10110.0,31.87,66280.0,30.0
Nebraska,2017,22870.0,29.91,62210.0,31.0
Nevada,2017,21060.0,40.86,84980.0,32.0
New Hampshire,2017,13190.0,33.67,70040.0,33.0
New Jersey,2017,80560.0,39.43,82010.0,34.0
New Mexico,2017,16290.0,33.58,69840.0,35.0
New York,2017,180170.0,40.12,83450.0,36.0
North Carolina,2017,99210.0,30.08,62560.0,37.0
North Dakota,2017,9020.0,30.35,63140.0,38.0
Ohio,2017,124620.0,31.49,65500.0,39.0
Oklahoma,2017,28000.0,29.63,61640.0,40.0
Oregon,2017,35140.0,42.68,88770.0,41.0
Pennsylvania,2017,143130.0,33.57,69820.0,42.0
Rhode Island,2017,11820.0,36.85,76650.0,44.0
South Carolina,2017,43200.0,30.59,63630.0,45.0
South Dakota,2017,12530.0,27.41,57010.0,46.0
Tennessee,2017,59350.0,28.87,60050.0,47.0
Texas,2017,212230.0,34.65,72070.0,48.0
Utah,2017,21340.0,30.31,63050.0,49.0
Vermont,2017,6270.0,33.44,69560.0,50.0
Virginia,2017,64260.0,32.69,67990.0,51.0
Washington,2017,56880.0,38.37,79810.0,53.0
West Virginia,2017,20410.0,29.03,60380.0,54.0
Wisconsin,2017,55940.0,33.27,69200.0,55.0
Wyoming,2017,4910.0,31.2,64900.0,56.0
Alabama,2011,45400.0,27.81,57840.0,1.0
Alaska,2011,5460.0,39.46,82080.0,2.0
Arizona,2011,44710.0,34.78,72340.0,4.0
Arkansas,2011,23550.0,27.4,56990.0,5.0
California,2011,250230.0,43.68,90860.0,6.0
Colorado,2011,42510.0,33.02,68670.0,8.0
Connecticut,2011,36320.0,36.47,75850.0,9.0
Delaware,2011,10510.0,34.64,72060.0,10.0
Florida,2011,164800.0,30.78,64020.0,12.0
Georgia,2011,65240.0,29.98,62370.0,13.0
Hawaii,2011,10210.0,40.36,83950.0,15.0
Idaho,2011,11660.0,30.13,62670.0,16.0
Illinois,2011,123770.0,32.31,67190.0,17.0
Indiana,2011,61150.0,28.08,58410.0,18.0
Iowa,2011,33230.0,25.62,53300.0,19.0
Kansas,2011,28180.0,28.25,58750.0,20.0
Kentucky,2011,44810.0,28.86,60040.0,21.0
Louisiana,2011,40840.0,30.86,64190.0,22.0
Maine,2011,14810.0,31.78,66100.0,23.0
Maryland,2011,49620.0,36.29,75490.0,24.0
Massachusetts,2011,87040.0,41.74,86810.0,25.0
Michigan,2011,89670.0,31.46,65430.0,26.0
Minnesota,2011,56660.0,35.7,74250.0,27.0
Mississippi,2011,29640.0,28.59,59480.0,28.0
Missouri,2011,67630.0,28.66,59620.0,29.0
Montana,2011,8700.0,28.94,60190.0,30.0
Nebraska,2011,19170.0,27.91,58060.0,31.0
Nevada,2011,16470.0,37.42,77840.0,32.0
New Hampshire,2011,13850.0,31.38,65280.0,33.0
New Jersey,2011,78180.0,36.76,76460.0,34.0
New Mexico,2011,15400.0,32.05,66660.0,35.0
New York,2011,176180.0,36.23,75370.0,36.0
North Carolina,2011,91300.0,29.31,60960.0,37.0
North Dakota,2011,8960.0,27.69,57600.0,38.0
Ohio,2011,124790.0,29.67,61710.0,39.0
Oklahoma,2011,28290.0,26.99,56130.0,40.0
Oregon,2011,30960.0,37.12,77220.0,41.0
Pennsylvania,2011,130740.0,32.28,67140.0,42.0
Rhode Island,2011,12340.0,34.96,72720.0,44.0
South Carolina,2011,42650.0,29.5,61350.0,45.0
South Dakota,2011,11120.0,26.78,55710.0,46.0
Tennessee,2011,60570.0,29.16,60660.0,47.0
Texas,2011,184890.0,32.49,67580.0,48.0
Utah,2011,19100.0,29.59,61540.0,49.0
Vermont,2011,6370.0,31.35,65210.0,50.0
Virginia,2011,62210.0,31.59,65710.0,51.0
Washington,2011,54490.0,35.98,74840.0,53.0
West Virginia,2011,18280.0,27.32,56820.0,54.0
Wisconsin,2011,56430.0,31.15,64800.0,55.0
Wyoming,2011,4800.0,29.29,60930.0,56.0
Alabama,2014,43680.0,27.15,56470.0,1.0
Alaska,2014,5780.0,41.22,85740.0,2.0
Arizona,2014,47020.0,34.28,71300.0,4.0
Arkansas,2014,22780.0,27.15,56480.0,5.0
California,2014,253310.0,47.31,98400.0,6.0
Colorado,2014,44370.0,33.46,69600.0,8.0
Connecticut,2014,33780.0,36.71,76370.0,9.0
Delaware,2014,10090.0,33.73,70160.0,10.0
Florida,2014,163950.0,30.15,62720.0,12.0
Georgia,2014,68010.0,29.98,62350.0,13.0
Hawaii,2014,10650.0,42.42,88230.0,15.0
Idaho,2014,11890.0,29.0,60320.0,16.0
Illinois,2014,111600.0,32.71,68030.0,17.0
Indiana,2014,59610.0,28.32,58900.0,18.0
Iowa,2014,31860.0,25.97,54020.0,19.0
Kansas,2014,26380.0,27.31,56800.0,20.0
Kentucky,2014,43740.0,27.87,57980.0,21.0
Louisiana,2014,40460.0,28.96,60230.0,22.0
Maine,2014,14460.0,30.44,63320.0,23.0
Maryland,2014,47790.0,34.72,72210.0,24.0
Massachusetts,2014,79910.0,41.23,85770.0,25.0
Michigan,2014,90340.0,32.3,67180.0,26.0
Minnesota,2014,56000.0,34.35,71450.0,27.0
Mississippi,2014,28070.0,27.19,56560.0,28.0
Missouri,2014,67250.0,27.9,58040.0,29.0
Montana,2014,9500.0,29.72,61810.0,30.0
Nebraska,2014,20040.0,27.67,57550.0,31.0
Nevada,2014,18430.0,38.58,80240.0,32.0
New Hampshire,2014,12390.0,31.63,65790.0,33.0
New Jersey,2014,76790.0,37.66,78330.0,34.0
New Mexico,2014,14930.0,31.63,65790.0,35.0
New York,2014,169560.0,37.07,77110.0,36.0
North Carolina,2014,89070.0,28.86,60030.0,37.0
North Dakota,2014,7680.0,27.94,58120.0,38.0
Ohio,2014,126880.0,30.04,62490.0,39.0
Oklahoma,2014,26390.0,27.8,57830.0,40.0
Oregon,2014,31050.0,39.87,82940.0,41.0
Pennsylvania,2014,128750.0,32.01,66570.0,42.0
Rhode Island,2014,11800.0,36.3,75510.0,44.0
South Carolina,2014,41270.0,28.69,59670.0,45.0
South Dakota,2014,11620.0,25.95,53970.0,46.0
Tennessee,2014,55560.0,27.42,57030.0,47.0
Texas,2014,190170.0,32.98,68590.0,48.0
Utah,2014,19550.0,29.37,61100.0,49.0
Vermont,2014,6540.0,30.92,64320.0,50.0
Virginia,2014,62700.0,30.71,63880.0,51.0
Washington,2014,51600.0,37.76,78540.0,53.0
West Virginia,2014,19120.0,27.11,56390.0,54.0
Wisconsin,2014,57270.0,31.54,65590.0,55.0
Wyoming,2014,4850.0,29.23,60790.0,56.0
Alabama,2000,31240.0,20.09,41790.0,1.0
Alaska,2000,4620.0,25.08,52170.0,2.0
Arizona,2000,28680.0,22.63,47070.0,4.0
Arkansas,2000,17610.0,18.64,38770.0,5.0
California,2000,203390.0,26.99,56140.0,6.0
Colorado,2000,30300.0,21.9,45550.0,8.0
Connecticut,2000,30860.0,24.65,51270.0,9.0
Delaware,2000,6600.0,24.86,51710.0,10.0
Florida,2000,149060.0,21.04,43770.0,12.0
Georgia,2000,49370.0,21.38,44460.0,13.0
Hawaii,2000,7740.0,26.46,55040.0,15.0
Idaho,2000,9670.0,21.0,43680.0,16.0
Illinois,2000,103320.0,21.79,45320.0,17.0
Indiana,2000,47900.0,19.95,41490.0,18.0
Iowa,2000,26060.0,17.98,37410.0,19.0
Kansas,2000,21340.0,18.59,38670.0,20.0
Kentucky,2000,34140.0,19.58,40720.0,21.0
Louisiana,2000,34340.0,20.62,42890.0,22.0
Maine,2000,11430.0,20.31,42240.0,23.0
Maryland,2000,43610.0,26.74,55610.0,24.0
Massachusetts,2000,76470.0,24.02,49970.0,25.0
Michigan,2000,78250.0,22.78,47380.0,26.0
Minnesota,2000,46630.0,23.69,49270.0,27.0
Mississippi,2000,21970.0,19.62,40810.0,28.0
Missouri,2000,49160.0,20.07,41740.0,29.0
Montana,2000,7490.0,18.14,37740.0,30.0
Nebraska,2000,15660.0,18.63,38750.0,31.0
Nevada,2000,11310.0,24.62,51200.0,32.0
New Hampshire,2000,11370.0,20.31,42240.0,33.0
New Jersey,2000,72620.0,24.5,50950.0,34.0
New Mexico,2000,10400.0,20.73,43110.0,35.0
New York,2000,159670.0,24.36,50660.0,36.0
North Carolina,2000,60940.0,20.79,43250.0,37.0
North Dakota,2000,6550.0,19.6,40760.0,38.0
Ohio,2000,100540.0,20.81,43280.0,39.0
Oklahoma,2000,22200.0,19.36,40260.0,40.0
Oregon,2000,24180.0,23.66,49210.0,41.0
Pennsylvania,2000,110720.0,21.12,43940.0,42.0
Rhode Island,2000,11130.0,22.88,47590.0,44.0
South Carolina,2000,26320.0,21.71,45150.0,45.0
South Dakota,2000,8140.0,18.38,38230.0,46.0
Tennessee,2000,50610.0,21.31,44330.0,47.0
Texas,2000,132880.0,20.97,43620.0,48.0
Utah,2000,13750.0,21.0,43680.0,49.0
Vermont,2000,4800.0,20.43,42490.0,50.0
Virginia,2000,46160.0,20.85,43370.0,51.0
Washington,2000,42380.0,24.22,50380.0,53.0
West Virginia,2000,15910.0,18.8,39090.0,54.0
Wisconsin,2000,47940.0,21.61,44960.0,55.0
Wyoming,2000,3510.0,17.93,37290.0,56.0
Alabama,1999,31180.0,18.65,38790.0,1.0
Alaska,1999,4190.0,23.29,48440.0,2.0
Arizona,1999,32070.0,20.84,43340.0,4.0
Arkansas,1999,19110.0,18.4,38280.0,5.0
California,1999,224190.0,26.0,54070.0,6.0
Colorado,1999,29770.0,21.01,43700.0,8.0
Connecticut,1999,30870.0,23.79,49480.0,9.0
Delaware,1999,6690.0,20.88,43430.0,10.0
Florida,1999,116300.0,20.36,42350.0,12.0
Georgia,1999,50980.0,19.56,40670.0,13.0
Hawaii,1999,8450.0,27.37,56930.0,15.0
Idaho,1999,9930.0,19.43,40410.0,16.0
Illinois,1999,106990.0,20.15,41910.0,17.0
Indiana,1999,49780.0,18.98,39480.0,18.0
Iowa,1999,26860.0,16.76,34860.0,19.0
Kansas,1999,20870.0,18.44,38360.0,20.0
Kentucky,1999,34600.0,19.32,40180.0,21.0
Louisiana,1999,37450.0,20.27,42150.0,22.0
Maine,1999,12440.0,19.46,40480.0,23.0
Maryland,1999,45910.0,23.54,48960.0,24.0
Massachusetts,1999,77180.0,23.66,49200.0,25.0
Michigan,1999,82200.0,21.88,45500.0,26.0
Minnesota,1999,44540.0,23.39,48650.0,27.0
Mississippi,1999,22510.0,19.2,39940.0,28.0
Missouri,1999,53250.0,18.92,39360.0,29.0
Montana,1999,8070.0,17.61,36640.0,30.0
Nebraska,1999,15180.0,18.07,37590.0,31.0
Nevada,1999,9810.0,23.05,47930.0,32.0
New Hampshire,1999,11990.0,18.89,39290.0,33.0
New Jersey,1999,76630.0,24.46,50880.0,34.0
New Mexico,1999,7760.0,19.34,40220.0,35.0
New York,1999,160460.0,24.27,50470.0,36.0
North Carolina,1999,56740.0,19.57,40700.0,37.0
North Dakota,1999,6520.0,18.07,37580.0,38.0
Ohio,1999,109180.0,19.69,40950.0,39.0
Oklahoma,1999,21330.0,18.76,39020.0,40.0
Oregon,1999,22200.0,22.45,46690.0,41.0
Pennsylvania,1999,110660.0,20.92,43510.0,42.0
Rhode Island,1999,11290.0,23.1,48040.0,44.0
South Carolina,1999,24390.0,20.41,42460.0,45.0
South Dakota,1999,8000.0,17.89,37210.0,46.0
Tennessee,1999,50070.0,18.78,39060.0,47.0
Texas,1999,138690.0,20.49,42620.0,48.0
Utah,1999,14370.0,20.41,42460.0,49.0
Vermont,1999,4450.0,19.81,41200.0,50.0
Virginia,1999,45430.0,19.86,41310.0,51.0
Washington,1999,35160.0,23.43,48740.0,53.0
West Virginia,1999,17160.0,17.92,37270.0,54.0
Wisconsin,1999,46020.0,19.74,41060.0,55.0
Wyoming,1999,3460.0,17.06,35480.0,56.0
Alabama,1998,28130.0,18.16,37770.0,1.0
Alaska,1998,3810.0,23.35,48560.0,2.0
Arizona,1998,28740.0,19.84,41270.0,4.0
Arkansas,1998,19020.0,17.94,37320.0,5.0
California,1998,172210.0,24.91,51810.0,6.0
Colorado,1998,27420.0,20.36,42340.0,8.0
Connecticut,1998,29470.0,23.17,48180.0,9.0
Delaware,1998,6190.0,20.25,42110.0,10.0
Florida,1998,116900.0,20.01,41630.0,12.0
Georgia,1998,50640.0,18.94,39390.0,13.0
Hawaii,1998,8560.0,27.11,56390.0,15.0
Idaho,1998,7430.0,18.89,39300.0,16.0
Illinois,1998,98300.0,18.98,39480.0,17.0
Indiana,1998,46490.0,18.3,38060.0,18.0
Iowa,1998,24800.0,16.04,33370.0,19.0
Kansas,1998,22740.0,17.99,37420.0,20.0
Kentucky,1998,31280.0,18.53,38530.0,21.0
Louisiana,1998,32180.0,20.19,42000.0,22.0
Maine,1998,11620.0,18.59,38670.0,23.0
Maryland,1998,40790.0,21.11,43920.0,24.0
Massachusetts,1998,72050.0,23.64,49170.0,25.0
Michigan,1998,70010.0,21.1,43880.0,26.0
Minnesota,1998,38940.0,22.53,46870.0,27.0
Mississippi,1998,20290.0,18.92,39360.0,28.0
Missouri,1998,48580.0,18.41,38300.0,29.0
Montana,1998,6850.0,16.78,34900.0,30.0
Nebraska,1998,15720.0,17.6,36610.0,31.0
Nevada,1998,9420.0,22.58,46970.0,32.0
New Hampshire,1998,10500.0,18.2,37850.0,33.0
New Jersey,1998,67810.0,23.71,49310.0,34.0
New Mexico,1998,10490.0,19.08,39690.0,35.0
New York,1998,150760.0,23.88,49660.0,36.0
North Carolina,1998,59900.0,20.02,41650.0,37.0
North Dakota,1998,6440.0,17.98,37400.0,38.0
Ohio,1998,100180.0,19.05,39630.0,39.0
Oklahoma,1998,23140.0,17.67,36760.0,40.0
Oregon,1998,20990.0,20.94,43560.0,41.0
Pennsylvania,1998,103680.0,20.27,42170.0,42.0
Rhode Island,1998,9770.0,22.63,47080.0,44.0
South Carolina,1998,26770.0,18.69,38870.0,45.0
South Dakota,1998,7620.0,17.02,35400.0,46.0
Tennessee,1998,42790.0,18.44,38360.0,47.0
Texas,1998,125070.0,19.88,41360.0,48.0
Utah,1998,13080.0,20.2,42020.0,49.0
Vermont,1998,5130.0,18.84,39190.0,50.0
Virginia,1998,45780.0,19.37,40280.0,51.0
Washington,1998,39620.0,22.74,47310.0,53.0
West Virginia,1998,14840.0,17.72,36870.0,54.0
Wisconsin,1998,41620.0,18.92,39350.0,55.0
Wyoming,1998,3520.0,16.74,34820.0,56.0
